State/UT,District,Market,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nashik,Satana APMC,Onion,Other,Local,200.0,2290.0,1330.0,Rs./Quintal,837.5,Metric Tonnes,2025-11-07
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Onion,Other,Local,550.0,1600.0,1075.0,Rs./Quintal,216.8,Metric Tonnes,2025-11-07
Maharashtra,Nashik,Umrane APMC,Onion,Other,Local,700.0,2400.0,1500.0,Rs./Quintal,1250.0,Metric Tonnes,2025-11-07
Maharashtra,Nagpur,HINGNA - APMC,Onion,White,Local,3000.0,3000.0,3000.0,Rs./Quintal,0.1,Metric Tonnes,2025-11-07
Maharashtra,Nashik,Lasalgaon APMC,Onion,Other,Local,700.0,2550.0,1725.0,Rs./Quintal,1244.6,Metric Tonnes,2025-11-07
Maharashtra,Jalgaon,Jalgaon APMC,Onion,Red,Local,2000.0,2000.0,2000.0,Rs./Quintal,0.2,Metric Tonnes,2025-11-07
Maharashtra,Solapur,Mangal Wedha APMC,Onion,Local,Local,100.0,1400.0,1000.0,Rs./Quintal,15.3,Metric Tonnes,2025-11-07
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Onion,Other,Local,700.0,1900.0,1300.0,Rs./Quintal,1049.5,Metric Tonnes,2025-11-07
Maharashtra,Nashik,Yeola APMC,Onion,Other,Local,250.0,1871.0,1000.0,Rs./Quintal,319.3,Metric Tonnes,2025-11-07
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Other,Local,500.0,2476.0,1650.0,Rs./Quintal,1072.6,Metric Tonnes,2025-11-07
Maharashtra,Nashik,Nasik APMC,Onion,Other,Local,450.0,1600.0,1300.0,Rs./Quintal,196.9,Metric Tonnes,2025-11-07
Maharashtra,Jalgaon,Bhusaval APMC,Onion,Other,Local,800.0,1300.0,1000.0,Rs./Quintal,3.0,Metric Tonnes,2025-11-07
Maharashtra,Solapur,Akluj APMC,Onion,Other,Local,200.0,1700.0,1200.0,Rs./Quintal,23.9,Metric Tonnes,2025-11-07
Maharashtra,Pune,Khed(Chakan) APMC,Onion,Other,Local,700.0,1500.0,1200.0,Rs./Quintal,20.0,Metric Tonnes,2025-11-07
Maharashtra,Pune,Pune APMC,Onion,Local,Local,400.0,1800.0,1100.0,Rs./Quintal,1224.1,Metric Tonnes,2025-11-07
Maharashtra,Ahilyanagar,Sangamner APMC,Onion,Other,Local,200.0,1851.0,1025.0,Rs./Quintal,501.6,Metric Tonnes,2025-11-07
Maharashtra,Dharashiv,Paranda APMC,Onion,Red,Local,500.0,1500.0,1250.0,Rs./Quintal,15.0,Metric Tonnes,2025-11-07
Maharashtra,Palghar,Kalyan APMC,Onion,1st Sort,Local,2000.0,2400.0,2250.0,Rs./Quintal,0.3,Metric Tonnes,2025-11-07
Maharashtra,Ahilyanagar,Pathardi APMC,Onion,Red,Local,100.0,1400.0,800.0,Rs./Quintal,28.5,Metric Tonnes,2025-11-07
Maharashtra,Palghar,Kalyan APMC,Onion,2nd Sort,Local,3000.0,4500.0,3750.0,Rs./Quintal,0.3,Metric Tonnes,2025-11-07
Maharashtra,Ahilyanagar,Kopargaon APMC,Onion,Other,Local,500.0,1869.0,1225.0,Rs./Quintal,355.2,Metric Tonnes,2025-11-07
Maharashtra,Pune,Pune(Moshi) APMC,Onion,Local,Local,500.0,1600.0,1050.0,Rs./Quintal,77.4,Metric Tonnes,2025-11-07
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market) APMC,Onion,Local,Local,1000.0,1600.0,1300.0,Rs./Quintal,33.0,Metric Tonnes,2025-11-07
Maharashtra,Nashik,Sinner APMC,Onion,Other,Local,300.0,1508.0,1375.0,Rs./Quintal,116.5,Metric Tonnes,2025-11-07
Maharashtra,Dharashiv,Dharashiv APMC,Onion,Red,Local,1000.0,1900.0,1450.0,Rs./Quintal,5.4,Metric Tonnes,2025-11-07
Maharashtra,Nashik,Devala APMC,Onion,Other,Local,250.0,1915.0,1550.0,Rs./Quintal,601.2,Metric Tonnes,2025-11-07
Maharashtra,Dhule,Dhule APMC,Onion,Red,Local,500.0,1400.0,1210.0,Rs./Quintal,130.3,Metric Tonnes,2025-11-07
Maharashtra,Ahilyanagar,Sangamner APMC,Onion,Red,Local,200.0,1811.0,1005.0,Rs./Quintal,169.9,Metric Tonnes,2025-11-07
Maharashtra,Nashik,Lasalgaon(Niphad) APMC,Onion,Other,Local,500.0,1830.0,1630.0,Rs./Quintal,301.5,Metric Tonnes,2025-11-07
