,,,,,,,Daily Price Arrival Report-25-08-2026 to 25-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahilyanagar,Akole APMC,Vegetables,Onion,Unhali,Local,800.00,"4,601.00","4,111.00",Rs./Quintal,175.50,Metric Tonnes,25-08-2026
Maharashtra,Ahilyanagar,Jamkhed APMC,Vegetables,Onion,Local,Local,"1,000.00","4,000.00","2,500.00",Rs./Quintal,10.40,Metric Tonnes,25-08-2026
Maharashtra,Ahilyanagar,Newasa APMC,Vegetables,Onion,Unhali,Local,"1,000.00","4,500.00","3,500.00",Rs./Quintal,106.30,Metric Tonnes,25-08-2026
Maharashtra,Ahilyanagar,"Omchatinya Multi State Agro Purpose Co-Op Society, Dist Ahilyanagar",Vegetables,Onion,Other,Local,"1,000.00","5,500.00","3,800.00",Rs./Quintal,379.61,Metric Tonnes,25-08-2026
Maharashtra,Ahilyanagar,Rahata APMC,Vegetables,Onion,Other,Local,600.00,"5,200.00","3,700.00",Rs./Quintal,354.50,Metric Tonnes,25-08-2026
Maharashtra,Ahilyanagar,Sangamner APMC,Vegetables,Onion,Unhali,Local,"1,000.00","4,750.00","2,875.00",Rs./Quintal,404.80,Metric Tonnes,25-08-2026
Maharashtra,Akola,Akola APMC,Vegetables,Onion,Other,Local,"2,000.00","4,400.00","3,200.00",Rs./Quintal,32.50,Metric Tonnes,25-08-2026
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market) APMC,Vegetables,Onion,Local,Local,"2,000.00","5,000.00","3,500.00",Rs./Quintal,21.00,Metric Tonnes,25-08-2026
Maharashtra,Beed,Gevrai APMC,Vegetables,Onion,Red,Local,"1,800.00","4,250.00","3,025.00",Rs./Quintal,8.80,Metric Tonnes,25-08-2026
Maharashtra,Buldhana,Malkapur APMC,Vegetables,Onion,Local,Local,"2,300.00","4,200.00","3,500.00",Rs./Quintal,13.70,Metric Tonnes,25-08-2026
Maharashtra,Chandrapur,Chandrapur(Ganjwad) APMC,Vegetables,Onion,Other,Local,"4,000.00","5,000.00","4,500.00",Rs./Quintal,32.00,Metric Tonnes,25-08-2026
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Vegetables,Onion,Other,Local,"1,700.00","4,400.00","3,050.00",Rs./Quintal,259.00,Metric Tonnes,25-08-2026
Maharashtra,Dharashiv,Paranda APMC,Vegetables,Onion,Red,Local,"2,500.00","4,000.00","3,200.00",Rs./Quintal,26.10,Metric Tonnes,25-08-2026
Maharashtra,Dhule,Sakri APMC,Vegetables,Onion,Unhali,Local,"3,500.00","4,550.00","4,100.00",Rs./Quintal,668.00,Metric Tonnes,25-08-2026
Maharashtra,Jalgaon,Bhusaval APMC,Vegetables,Onion,Unhali,Local,"3,500.00","3,500.00","3,500.00",Rs./Quintal,0.20,Metric Tonnes,25-08-2026
Maharashtra,Jalgaon,Jalgaon APMC,Vegetables,Onion,Red,Local,912.00,"4,275.00","2,627.00",Rs./Quintal,43.60,Metric Tonnes,25-08-2026
Maharashtra,Kolhapur,Kolhapur APMC,Vegetables,Onion,Other,Local,"1,100.00","4,500.00","2,300.00",Rs./Quintal,364.70,Metric Tonnes,25-08-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Onion,Other,Local,"3,200.00","4,200.00","3,700.00",Rs./Quintal,"1,350.70",Metric Tonnes,25-08-2026
Maharashtra,Nagpur,HINGNA - APMC,Vegetables,Onion,Red,Local,"3,500.00","4,000.00","3,833.00",Rs./Quintal,0.60,Metric Tonnes,25-08-2026
Maharashtra,Nagpur,Kamthi APMC,Vegetables,Onion,Local,Local,"3,500.00","4,000.00","3,750.00",Rs./Quintal,0.50,Metric Tonnes,25-08-2026
Maharashtra,Nagpur,Nagpur APMC,Vegetables,Onion,Red,Local,"3,500.00","4,000.00","3,875.00",Rs./Quintal,133.00,Metric Tonnes,25-08-2026
Maharashtra,Nagpur,Nagpur APMC,Vegetables,Onion,White,Local,"4,000.00","4,500.00","4,375.00",Rs./Quintal,133.00,Metric Tonnes,25-08-2026
Maharashtra,Nashik,AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD,Vegetables,Onion,Unhali,Local,"1,390.00","4,555.00","3,980.00",Rs./Quintal,"1,000.00",Metric Tonnes,25-08-2026
Maharashtra,Nashik,Devala APMC,Vegetables,Onion,Unhali,Local,700.00,"4,325.00","3,925.00",Rs./Quintal,773.00,Metric Tonnes,25-08-2026
Maharashtra,Nashik,Dindori APMC,Vegetables,Onion,Unhali,Local,"3,000.00","4,351.00","3,850.00",Rs./Quintal,24.70,Metric Tonnes,25-08-2026
Maharashtra,Nashik,Dindori(Vani) APMC,Vegetables,Onion,Unhali,Local,"3,851.00","4,701.00","4,351.00",Rs./Quintal,382.30,Metric Tonnes,25-08-2026
Maharashtra,Nashik,Kalvan APMC,Vegetables,Onion,Unhali,Local,"1,500.00","5,000.00","4,200.00",Rs./Quintal,"1,990.00",Metric Tonnes,25-08-2026
Maharashtra,Nashik,Lasalgaon APMC,Vegetables,Onion,Unhali,Local,"1,000.00","4,552.00","4,000.00",Rs./Quintal,"1,224.80",Metric Tonnes,25-08-2026
Maharashtra,Nashik,Lasalgaon(Niphad) APMC,Vegetables,Onion,Unhali,Local,"1,500.00","4,421.00","4,200.00",Rs./Quintal,741.00,Metric Tonnes,25-08-2026
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Vegetables,Onion,Unhali,Local,"1,200.00","4,552.00","4,000.00",Rs./Quintal,865.80,Metric Tonnes,25-08-2026
Maharashtra,Nashik,Manmad APMC,Vegetables,Onion,Unhali,Local,"1,000.00","4,223.00","4,050.00",Rs./Quintal,300.00,Metric Tonnes,25-08-2026
Maharashtra,Nashik,Nampur APMC,Vegetables,Onion,Unhali,Local,600.00,"4,605.00","3,500.00",Rs./Quintal,711.00,Metric Tonnes,25-08-2026
Maharashtra,Nashik,Nasik APMC,Vegetables,Onion,Unhali,Local,"2,050.00","4,500.00","3,850.00",Rs./Quintal,421.00,Metric Tonnes,25-08-2026
Maharashtra,Nashik,Pimpalgaon Baswant APMC,Vegetables,Onion,Unhali,Local,700.00,"5,030.00","4,300.00",Rs./Quintal,"2,400.00",Metric Tonnes,25-08-2026
Maharashtra,Nashik,Pimpalgaon Baswant(Saykheda) APMC,Vegetables,Onion,Unhali,Local,"1,500.00","4,502.00","3,800.00",Rs./Quintal,398.00,Metric Tonnes,25-08-2026
Maharashtra,Nashik,Satana APMC,Vegetables,Onion,Unhali,Local,800.00,"4,900.00","4,090.00",Rs./Quintal,"1,005.50",Metric Tonnes,25-08-2026
Maharashtra,Nashik,Sinner APMC,Vegetables,Onion,Unhali,Local,"1,500.00","4,300.00","4,000.00",Rs./Quintal,182.00,Metric Tonnes,25-08-2026
Maharashtra,Nashik,Umrane APMC,Vegetables,Onion,Unhali,Local,"1,100.00","4,651.00","3,600.00",Rs./Quintal,"2,350.00",Metric Tonnes,25-08-2026
Maharashtra,Palghar,Kalyan APMC,Vegetables,Onion,1st Sort,Local,"3,800.00","4,100.00","3,950.00",Rs./Quintal,0.30,Metric Tonnes,25-08-2026
Maharashtra,Pune,Indapur APMC,Vegetables,Onion,Red,Local,"1,500.00","4,400.00","2,000.00",Rs./Quintal,5.80,Metric Tonnes,25-08-2026
Maharashtra,Pune,Junnar(Alephata) APMC,Vegetables,Onion,Chinchwad,Local,"1,500.00","4,810.00","3,600.00",Rs./Quintal,"1,088.20",Metric Tonnes,25-08-2026
Maharashtra,Pune,Khed APMC,Vegetables,Onion,Fursungi,Local,"2,200.00","3,800.00","3,000.00",Rs./Quintal,1.50,Metric Tonnes,25-08-2026
Maharashtra,Pune,Khed(Chakan) APMC,Vegetables,Onion,Other,Local,"1,500.00","4,200.00","3,500.00",Rs./Quintal,30.00,Metric Tonnes,25-08-2026
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,000.00","4,500.00","2,750.00",Rs./Quintal,"1,277.30",Metric Tonnes,25-08-2026
Maharashtra,Pune,Pune(Khadiki) APMC,Vegetables,Onion,Local,Local,700.00,"1,400.00","1,050.00",Rs./Quintal,0.60,Metric Tonnes,25-08-2026
